Average Linear Utility,Average Maximum Utility,Average Polarized Winner,Least Polarized Winner,Most Blocking Loser,Most Polarized Winner,Nash Product Welfare,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
2.7884726190476194,0.8750230158730158,0.1288215155004278,0.11689000476538977,0.11,0.1375976066313265,1.114313672337922,1.2535695387059553,0.01210325190246924,5.6317074080201286e-5,923467982958337280,SDV,5,0.8372882102022607
2.493590873015873,0.8923472222222222,0.12157302199058713,0.059368742742142995,0.0,0.1415691406391893,1.0783867650608152,0.2912071663507175,0.010126828306916113,0.0012239508172003119,923467982958337280,SSQ,5,0.8372882102022607
2.2155123015873017,0.8838617063492064,0.1114447730415031,0.059368742742142995,0.0,0.1415691406391893,0.9926276863093415,0.09547450938227366,0.009572982291055769,0.0011333060517835153,923467982958337280,AS,5,0.8372882102022607
2.694516468253968,0.8943988095238095,0.1310916485231073,0.10329910694891412,0.1525,0.14171431348071206,1.089971336603426,1.1054346834474416,0.01348074890541138,0.00024685842485820073,923467982958337280,STV,5,0.8372882102022607
2.7884726190476194,0.8750230158730158,0.1288215155004278,0.11689000476538977,0.11,0.1375976066313265,1.114313672337922,1.2535695387059553,0.01210325190246924,5.6317074080201286e-5,923467982958337280,SSS,5,0.8372882102022607
2.7558888888888893,0.8847392857142856,0.13474154052859447,0.12882133603586876,0.17,0.146490129906223,1.1082515488861788,1.1627969892290564,0.011835760118500918,5.496345031263818e-5,923467982958337280,MES_ExMQ,5,0.8372882102022607
2.7558888888888893,0.8847392857142856,0.13474154052859447,0.12882133603586876,0.17,0.146490129906223,1.1082515488861788,1.1627969892290564,0.011835760118500918,5.496345031263818e-5,923467982958337280,MES_ExLR,5,0.8372882102022607
2.3115996031746033,0.9010928571428568,0.17199482977021713,0.1452908897440894,0.0,0.19619474362681322,1.023967992070721,0.15772573024969908,0.008800333727584377,0.0005561470823531437,1334392192784659456,SDV,5,0.33157092913999264
2.3169140873015874,0.8980511904761902,0.1689503174304698,0.1452908897440894,0.0,0.19461067785703764,1.0247871608776793,0.17404898480163336,0.008733344859473071,0.00041830001839443916,1334392192784659456,SSQ,5,0.33157092913999264
2.3115996031746033,0.9010928571428568,0.1719948297702171,0.1452908897440894,0.0,0.19619474362681322,1.023967992070721,0.15772573024969905,0.008800333727584377,0.0005561470823531438,1334392192784659456,AS,5,0.33157092913999264
2.269953373015873,0.9286156746031743,0.17706001059720625,0.1452908897440894,0.0,0.19619474362681322,1.0088374774363849,0.15412257002363455,0.006427443702285451,0.0004254679767451046,1334392192784659456,STV,5,0.33157092913999264
2.3115996031746033,0.9010928571428568,0.17199482977021713,0.1452908897440894,0.0,0.19619474362681322,1.023967992070721,0.15772573024969908,0.008800333727584377,0.0005561470823531437,1334392192784659456,SSS,5,0.33157092913999264
2.239708134920634,0.9220321428571424,0.1650676126527691,0.11264048811186737,0.0,0.19461067785703764,0.9985432850612397,0.1416310795136404,0.006392068161663349,0.0009664464357108101,1334392192784659456,MES_ExMQ,5,0.33157092913999264
2.400098015873016,0.8639599206349204,0.15751750581767643,0.1452908897440894,0.48,0.1722377733771144,0.9658806309481774,1.3926985494496742,0.009723604237083268,0.0001321845563194237,1334392192784659456,MES_ExLR,5,0.33157092913999264
1.8272769841269842,0.7820833333333334,0.11209554290550731,0.08218218095879481,0.4075,0.13557439025619514,0.7804401683538607,0.49673429234080374,0.0664829477128335,0.00046680407992516357,1223131024499586560,SDV,5,0.08757164558732622
1.8686803571428572,0.7312988095238095,0.11386902209659411,0.08218218095879481,0.5025,0.13557439025619514,0.7591880379141467,0.8784336289695852,0.07994655599262845,0.0003841735112920075,1223131024499586560,SSQ,5,0.08757164558732622
1.8372259920634924,0.7772220238095239,0.12337547635630457,0.09779980176911332,0.4075,0.13864062638146993,0.7557986566947537,0.7899155248463471,0.07046696913897708,0.00025988353048870237,1223131024499586560,AS,5,0.08757164558732622
1.7869428571428572,0.7946785714285713,0.1247018537409452,0.09754527507734562,0.4075,0.1486433037374066,0.7402904770770193,0.7197300823162904,0.0656531755264127,0.00036769122490501807,1223131024499586560,STV,5,0.08757164558732622
1.8056271825396826,0.7933898809523809,0.11224399675997769,0.08218218095879481,0.4075,0.13557439025619514,0.7765689316438268,0.43786484825931327,0.06352304147062038,0.00046160862797417783,1223131024499586560,SSS,5,0.08757164558732622
1.903377976190476,0.5369029761904761,0.12107974711676354,0.08218218095879481,1.6325,0.13864062638146993,0.6343175479612124,2.5418377951327247,0.14105372421656637,0.0005642806942939621,1223131024499586560,MES_ExMQ,5,0.08757164558732622
1.8749458333333333,0.6474583333333332,0.12507888537770875,0.11444551706972,1.0,0.13864062638146993,0.7009578846216072,1.3773586637214665,0.12063230626005247,0.00012431130196127808,1223131024499586560,MES_ExLR,5,0.08757164558732622
2.3560017857142856,0.899520833333333,0.15818143982811986,0.13323264099134316,0.0,0.16841911313366442,1.0395392098166398,0.16206700540994703,0.00794904183065172,0.00022257941365637723,506524101772466624,SDV,5,0.723827148352123
2.3567238095238094,0.9002452380952379,0.16376740319522007,0.15531443086055496,0.0,0.17043346205096596,1.037915942245199,0.19117494276616756,0.008347656770562147,3.952417512141607e-5,506524101772466624,SSQ,5,0.723827148352123
2.3580934523809525,0.9080922619047617,0.1631531463381209,0.15531443086055496,0.0,0.17043346205096596,1.03718826133424,0.20437296014468403,0.00807152654239534,4.850431552872418e-5,506524101772466624,AS,5,0.723827148352123
