Average Polarized Winner,Harmonic Utility,Least Polarized Winner,Linear Utility,LogProduct Utility,Maximin Support,Maximum Utility,Most Blocking Loser,Most Polarized Winner,PreferredToRule,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.004554255442009e-6,68490768449407568,AS,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.004554255442009e-6,68490768449407568,DRB1,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.00455425544201e-6,68490768449407568,DRB2,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.004554255442009e-6,68490768449407568,DRB3,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.00455425544201e-6,68490768449407568,DRB4,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,-1.0,3.2910011225056963,0.1749668142404536,5.00455425544201e-6,68490768449407568,EAZ,6,0.37706360765837077
0.1068609883413929,0.737292896009313,0.10427260963815241,1.3196833333333333,0.08877075632422379,0.32754999999999995,0.32755,0.795,0.11008414623978664,0.0,3.2910011225056963,0.1749668142404536,5.004554255442009e-6,68490768449407568,MES_ExLR,6,0.37706360765837077
0.05872251089665206,0.4761632689230797,0.04463975737868935,0.5560750000000001,-0.17155493142847583,0.18081249999999993,0.3541166666666667,1.092,0.10405803450336289,-1.0,0.7557516646517706,0.15924295230948804,0.0005131681190151577,68490768449407568,STV,6,0.37706360765837077
0.13015215524428883,1.3511781713462496,0.11552344811294539,1.820266666666667,0.7591612289092441,0.6615000000003775,0.6909916666666667,0.261,0.14679395246234214,0.0,0.5990076549385804,0.06998759372741926,0.0001710179338468251,1146313336581380864,AS,6,0.5408639140522372
0.13015215524428883,1.3511781713462496,0.11552344811294539,1.820266666666667,0.7591612289092441,0.6615000000003775,0.6909916666666667,0.261,0.14679395246234214,0.0,0.5990076549385804,0.06998759372741926,0.0001710179338468251,1146313336581380864,DRB1,6,0.5408639140522372
0.11892521476015784,1.0078927204326094,0.11509814879662057,1.8416166666666667,0.3746274568336218,0.41095833333333326,0.41095833333333337,2.508,0.12073704011728084,-1.0,3.869688174920792,0.1683595113528986,3.977914840283384e-6,1146313336581380864,DRB2,6,0.5408639140522372
0.13015215524428883,1.3511781713462496,0.11552344811294539,1.820266666666667,0.7591612289092441,0.6615000000003775,0.6909916666666667,0.261,0.14679395246234214,0.0,0.5990076549385804,0.06998759372741926,0.0001710179338468251,1146313336581380864,DRB3,6,0.5408639140522372
0.11892521476015784,1.0078927204326094,0.11509814879662057,1.8416166666666667,0.3746274568336218,0.41095833333333326,0.41095833333333337,2.508,0.12073704011728084,-1.0,3.869688174920792,0.1683595113528986,3.977914840283384e-6,1146313336581380864,DRB4,6,0.5408639140522372
0.1189960979795453,1.013200119144956,0.11552344811294539,1.8424833333333335,0.3803267082510899,0.4143166666666665,0.4143166666666666,2.508,0.12073704011728084,-1.0,3.7901469065088085,0.16889614779612033,3.357002009898825e-6,1146313336581380864,EAZ,6,0.5408639140522372
0.14030422120782615,0.8774870932252534,0.13746355816797298,1.7626333333333333,0.23227775000171275,0.34191956521739125,0.3437083333333334,3.057,0.14679395246234214,0.0,4.886613705741757,0.17785281355955757,1.1528297375729005e-5,1146313336581380864,MES_ExLR,6,0.5408639140522372
